county,contest_group_id,contest_name,choice,choice_party,sum
ALAMANCE,2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Write-In (Miscellaneous),,838
ALAMANCE,3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Barrett Brown,,19172
ALAMANCE,3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,David Michael Spruill,,20207
ALAMANCE,3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Kezia Graham Workman,,18203
ALAMANCE,3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,151
ALEXANDER,7,ALEXANDER COUNTY BOARD OF COMMISSIONERS,Jeffrey P. Peal,REP,9506
ALEXANDER,7,ALEXANDER COUNTY BOARD OF COMMISSIONERS,Marty Loudermilt,DEM,8945
ALEXANDER,7,ALEXANDER COUNTY BOARD OF COMMISSIONERS,Ryan Mayberry,REP,9701
ALEXANDER,2,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 1,Scott A. Bowman,,4556
ALEXANDER,2,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),,80
ALEXANDER,3,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 3,Caryn Lee Brzykcy,,1869
ALEXANDER,3,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 3,Shannon Oxentine (Write-In),,5
ALEXANDER,3,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),,96
ALEXANDER,4,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 4,Brian Walker,,1518
ALEXANDER,4,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 4,Brigette W. Rhyne,,1692
ALEXANDER,4,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 4,Rodger (Peanut) White,,1252
ALEXANDER,4,ALEXANDER COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),,13
ALEXANDER,10,COUNTYWIDE ABC STORE ELECTION,Against,,7374
ALEXANDER,10,COUNTYWIDE ABC STORE ELECTION,For,,10738
ALEXANDER,8,COUNTYWIDE MALT BEVERAGE ELECTION,Against,,7729
ALEXANDER,8,COUNTYWIDE MALT BEVERAGE ELECTION,For,,10345
ALEXANDER,11,COUNTYWIDE MIXED BEVERAGE ELECTION,Against,,7698
ALEXANDER,11,COUNTYWIDE MIXED BEVERAGE ELECTION,For,,10442
ALEXANDER,9,COUNTYWIDE UNFORTIFIED WINE ELECTION,Against,,7642
ALEXANDER,9,COUNTYWIDE UNFORTIFIED WINE ELECTION,For,,10434
ALEXANDER,5,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Alan Kaeckmeister,,929
ALEXANDER,5,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Allen M. Guy,,5110
ALEXANDER,5,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Kent Herman,,8798
ALEXANDER,5,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,112
ALEXANDER,12,TOWN OF TAYLORSVILLE MALT BEVERAGE ELECTION,Against,,321
ALEXANDER,12,TOWN OF TAYLORSVILLE MALT BEVERAGE ELECTION,For,,604
ALEXANDER,13,TOWN OF TAYLORSVILLE MIXED BEVERAGE ELECTION,Against,,319
ALEXANDER,13,TOWN OF TAYLORSVILLE MIXED BEVERAGE ELECTION,For,,606
ALLEGHANY,6,ALLEGHANY COUNTY BOARD OF COMMISSIONERS,"John Ulus Irwin, Jr.",REP,2746
ALLEGHANY,6,ALLEGHANY COUNTY BOARD OF COMMISSIONERS,Karen Gambill Leys,DEM,2044
ALLEGHANY,6,ALLEGHANY COUNTY BOARD OF COMMISSIONERS,Larry Davis,DEM,2193
ALLEGHANY,6,ALLEGHANY COUNTY BOARD OF COMMISSIONERS,Larry Prince,REP,2570
ALLEGHANY,7,ALLEGHANY COUNTY BOARD OF EDUCATION,Chad Loggins,REP,2875
ALLEGHANY,7,ALLEGHANY COUNTY BOARD OF EDUCATION,David (Casey) Jones,DEM,2441
ALLEGHANY,7,ALLEGHANY COUNTY BOARD OF EDUCATION,Suzanne Mellow-Irwin,REP,3508
ALLEGHANY,5,ALLEGHANY COUNTY REGISTER OF DEEDS,Miranda Hamm Roupe,DEM,3840
ALLEGHANY,4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Bobby P. Evans,,4360
ALLEGHANY,4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,29
ANSON,1,ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Bobby Sikes,DEM,969
ANSON,1,ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Janet Maria Dyson,UNA,230
ANSON,1,ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Mechell Ann Roberts Turner,REP,550
ANSON,2,ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Ross Streater,DEM,1284
ANSON,3,ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 6,Jarvis T. Woodburn,DEM,837
ANSON,4,ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 7,Harold C. Smith,DEM,1184
ANSON,5,ANSON COUNTY BOARD OF EDUCATION DISTRICT 1,Mike Turner,DEM,1335
ANSON,6,ANSON COUNTY BOARD OF EDUCATION DISTRICT 3,Beulah Pratt,DEM,1199
ANSON,7,ANSON COUNTY BOARD OF EDUCATION DISTRICT 6,Frank Liles,DEM,806
ANSON,8,ANSON COUNTY BOARD OF EDUCATION DISTRICT 7,Carol Ann Gibson,DEM,1171
ANSON,10,ANSON COUNTY REGISTER OF DEEDS,Joanne S. Huntley,DEM,8497
ANSON,9,ANSON COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Jeff Joyner (Write-In),,5
ANSON,9,ANSON COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,John Springer,,6289
ANSON,9,ANSON COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,93
ASHE,1,ASHE COUNTY BOARD OF COMMISSIONERS,Donna J. Weaver,DEM,4942
ASHE,1,ASHE COUNTY BOARD OF COMMISSIONERS,Gary W. Roark,REP,6421
ASHE,1,ASHE COUNTY BOARD OF COMMISSIONERS,Larry D. Rhodes,REP,7085
ASHE,1,ASHE COUNTY BOARD OF COMMISSIONERS,Paula R. Perry,REP,7345
ASHE,1,ASHE COUNTY BOARD OF COMMISSIONERS,Polly S. Jones,DEM,5055
ASHE,1,ASHE COUNTY BOARD OF COMMISSIONERS,Richard C. Blackburn,DEM,5785
ASHE,2,ASHE COUNTY BOARD OF EDUCATION,C.B. Jones,,9293
ASHE,2,ASHE COUNTY BOARD OF EDUCATION,Lee Beckworth,,9252
ASHE,2,ASHE COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),,567
ASHE,3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Russell Vannoy,,10287
ASHE,3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,205
AVERY,1,AVERY COUNTY BOARD OF COMMISSIONERS,Martha Jaynes Hicks,REP,5469
AVERY,1,AVERY COUNTY BOARD OF COMMISSIONERS,Tim Phillips,REP,4968
AVERY,1,AVERY COUNTY BOARD OF COMMISSIONERS,"Wood (Woodie) Hall Young, Jr.",REP,4772
AVERY,4,AVERY COUNTY CORONER,John Millan,REP,5266
AVERY,2,AVERY COUNTY REGISTER OF DEEDS,Renee Dellinger,REP,6623
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Bill Beutell (Write-In),,8
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Brian Banner (Write-In),,34
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Christine Vance (Write-In),,6
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Dave Chicome (Write-In),,8
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,David Banner (Write-In),,16
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Eric Guinn (Write-In),,6
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Gwen Clark (Write-In),,6
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Jeffrey Pollard (Write-In),,236
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Jerry Moody (Write-In),,6
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,John Stewart (Write-In),,13
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Mark Forbes (Write-In),,13
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Paul Smith (Write-In),,7
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Steve Smith (Write-In),,5
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Ted Farmer (Write-In),,12
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Thomas Pittman (Write-In),,8
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tommy Burleson (Write-In),,9
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tommy Carver (Write-In),,16
AVERY,3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,460
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Derik Davis,REP,3230
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Gary L. Brinn,REP,3290
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Greg Satterthwaite,DEM,1252
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Hood Richardson,REP,4685
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Jerry E. Langley,DEM,4509
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Jerry Evans,REP,3323
BEAUFORT,2,BEAUFORT COUNTY BOARD OF COMMISSIONERS,Robert Belcher,DEM,2928
BEAUFORT,3,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 1,Eltha Booth,,1997
BEAUFORT,3,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),,41
BEAUFORT,4,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 3,Barbara Boyd-Williams,,1808
BEAUFORT,4,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),,38
BEAUFORT,5,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 5,David Daniel,,720
BEAUFORT,5,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 5,F. Mac Hodges,,1385
BEAUFORT,5,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 5,Kate A. Phelps,,585
BEAUFORT,5,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),,14
BEAUFORT,6,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 7,Carolyn S. Walker,,1970
BEAUFORT,6,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 7,Write-In (Miscellaneous),,39
BEAUFORT,7,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 9,Mike Isbell,,838
BEAUFORT,7,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 9,Terry W. Draper,,1274
BEAUFORT,7,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 9,Write-In (Miscellaneous),,21
BEAUFORT,1,BEAUFORT COUNTY REGISTER OF DEEDS,Jennifer Leggett Whitehurst,REP,18473
BEAUFORT,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Greg Dority (Write-In),,30
BEAUFORT,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tracy B. Warren,,18607
BEAUFORT,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,262
BERTIE,1,BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Ronald (Ron) Wesson,DEM,6688
BERTIE,2,BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 4,John Trent,UNA,4580
BERTIE,3,BERTIE COUNTY BOARD OF EDUCATION DISTRICT 1,Bob Occena,,6789
BERTIE,3,BERTIE COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),,71
BERTIE,4,BERTIE COUNTY BOARD OF EDUCATION DISTRICT 5,Tarsha Bush-Dudley,,6316
BERTIE,4,BERTIE COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),,60
BERTIE,6,BERTIE COUNTY REGISTER OF DEEDS,Annie F. Wilson,DEM,7015
BERTIE,7,COUNTYWIDE MIXED BEVERAGE ELECTION,Against,,2793
BERTIE,7,COUNTYWIDE MIXED BEVERAGE ELECTION,For,,5694
BERTIE,5,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,John M. Griffin,,4838
BERTIE,5,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,63
BLADEN,1,BLADEN COUNTY BOARD OF COMMISSIONERS COUNTYWIDE,David Gooden,REP,2632
BLADEN,1,BLADEN COUNTY BOARD OF COMMISSIONERS COUNTYWIDE,G. Michael Cogdell,DEM,4513
BLADEN,1,BLADEN COUNTY BOARD OF COMMISSIONERS COUNTYWIDE,James G. (Jimmie) Smith,DEM,1885
BLADEN,1,BLADEN COUNTY BOARD OF COMMISSIONERS COUNTYWIDE,Pamela Benton,DEM,1948
BLADEN,1,BLADEN COUNTY BOARD OF COMMISSIONERS COUNTYWIDE,Randy Crow,LIB,161
BLADEN,1,BLADEN COUNTY BOARD OF COMMISSIONERS COUNTYWIDE,Ray Britt,REP,4395
BLADEN,2,BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Ophelia Munn-Goins,DEM,3554
BLADEN,3,BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 2,Daniel R. Dowless,DEM,3920
BLADEN,4,BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Ashley S. Trivette,REP,2971
BLADEN,4,BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 3,"Ken Register, Jr.",DEM,2534
BLADEN,5,BLADEN COUNTY BOARD OF EDUCATION DISTRICT 1,Glenn C. McKoy,DEM,3743
BLADEN,6,BLADEN COUNTY BOARD OF EDUCATION DISTRICT 2,Berry Lewis,DEM,3800
BLADEN,7,BLADEN COUNTY BOARD OF EDUCATION DISTRICT 3,Bonnell Walker,DEM,2399
BLADEN,7,BLADEN COUNTY BOARD OF EDUCATION DISTRICT 3,Chris Clark,UNA,2616
BLADEN,9,BLADEN COUNTY LOCAL SALES AND USE TAX,Against,,10862
BLADEN,9,BLADEN COUNTY LOCAL SALES AND USE TAX,For,,4249
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Edward Hester (Write-In),,6
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Franklin Gore (Write-In),,5
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Franklin Graham (Write-In),,3356
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,McCrae Dowless,,7786
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Richard Allen (Write-In),,6
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Ronald Allen (Write-In),,11
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Wanda Grimes (Write-In),,6
BLADEN,10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,364
BRUNSWICK,2,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Patricia (Pat) Sykes,REP,42267
BRUNSWICK,2,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 3,William C. Flythe,DEM,22526
BRUNSWICK,3,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 4,Brenda Faye McMillian,DEM,22780
BRUNSWICK,3,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 4,Mike Forte,REP,41280
BRUNSWICK,4,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 5,Frank Williams,REP,39974
BRUNSWICK,4,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 5,Wesley Hickman,DEM,24022
BRUNSWICK,5,BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 1,Ed Lemon,REP,49433
BRUNSWICK,6,BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 2,Catherine Cooke,REP,39015
BRUNSWICK,6,BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 2,Sharon Woodard Crawford,DEM,24429
BRUNSWICK,7,BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 4,Ellen Milligan,REP,40245
BRUNSWICK,7,BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 4,Marty Mentzer,DEM,23515
BRUNSWICK,1,BRUNSWICK COUNTY REGISTER OF DEEDS,Brenda Mercer Clemmons,REP,43267
BRUNSWICK,1,BRUNSWICK COUNTY REGISTER OF DEEDS,John Holleman,DEM,20454
BRUNSWICK,9,BRUNSWICK COUNTY SCHOOL BONDS,No,,21927
BRUNSWICK,9,BRUNSWICK COUNTY SCHOOL BONDS,Yes,,44926
BRUNSWICK,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Anthony (Tony) Wayne Street,,49365
BRUNSWICK,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Brandon Isenhour (Write-In),,9
BRUNSWICK,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Brian Blanton (Write-In),,11
BRUNSWICK,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Gregory Jordan (Write-In),,7
BRUNSWICK,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Lavonda Fullwood (Write-In),,8
BRUNSWICK,8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,367
BUNCOMBE,14,ASHEVILLE GENERAL OBLIGATION HOUSING BONDS,No,,13447
BUNCOMBE,14,ASHEVILLE GENERAL OBLIGATION HOUSING BONDS,Yes,,33267
BUNCOMBE,15,ASHEVILLE GENERAL OBLIGATION PARKS AND RECREATION BONDS,No,,10822
BUNCOMBE,15,ASHEVILLE GENERAL OBLIGATION PARKS AND RECREATION BONDS,Yes,,36166
BUNCOMBE,13,ASHEVILLE GENERAL OBLIGATION TRANSPORTATION BONDS,No,,11294
BUNCOMBE,13,ASHEVILLE GENERAL OBLIGATION TRANSPORTATION BONDS,Yes,,35393
BUNCOMBE,3,BUNCOMBE COUNTY BOARD OF COMMISSIONERS CHAIR,Brownie Newman,DEM,74268
BUNCOMBE,3,BUNCOMBE COUNTY BOARD OF COMMISSIONERS CHAIR,Chuck Archerd,REP,58467
BUNCOMBE,4,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Jasmine Beach-Ferrara,DEM,37926
BUNCOMBE,5,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2,Mike Fryar,REP,22479
BUNCOMBE,5,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2,Nancy Nehls Nelson,DEM,22162
BUNCOMBE,6,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Ed Hay,DEM,17843
BUNCOMBE,6,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Joe Belcher,REP,22855
BUNCOMBE,12,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 UNEXPIRED,David King,DEM,17612
BUNCOMBE,12,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 UNEXPIRED,Robert Pressley,REP,23096
BUNCOMBE,8,BUNCOMBE COUNTY BOARD OF EDUCATION AT- LARGE,Amy Smith Wamsley,,25039
BUNCOMBE,8,BUNCOMBE COUNTY BOARD OF EDUCATION AT- LARGE,Donna Pate,,35331
BUNCOMBE,8,BUNCOMBE COUNTY BOARD OF EDUCATION AT- LARGE,Matt Kern,,27554
BUNCOMBE,8,BUNCOMBE COUNTY BOARD OF EDUCATION AT- LARGE,Write-In (Miscellaneous),,422
BUNCOMBE,11,BUNCOMBE COUNTY BOARD OF EDUCATION NORTH BUNCOMBE DISTRICT,Ann B. Franklin,,72731
BUNCOMBE,11,BUNCOMBE COUNTY BOARD OF EDUCATION NORTH BUNCOMBE DISTRICT,"Gary Russell Smart, Jr. (Write-In)",,67
BUNCOMBE,11,BUNCOMBE COUNTY BOARD OF EDUCATION NORTH BUNCOMBE DISTRICT,Write-In (Miscellaneous),,961
BUNCOMBE,9,BUNCOMBE COUNTY BOARD OF EDUCATION OWEN DISTRICT,Margaret (Peggy) Buchanan,,44806
BUNCOMBE,9,BUNCOMBE COUNTY BOARD OF EDUCATION OWEN DISTRICT,Mark Crawford,,22737
BUNCOMBE,9,BUNCOMBE COUNTY BOARD OF EDUCATION OWEN DISTRICT,Mark Siler,,4757
BUNCOMBE,9,BUNCOMBE COUNTY BOARD OF EDUCATION OWEN DISTRICT,Robert (Bob) Chilmonik,,12391
BUNCOMBE,9,BUNCOMBE COUNTY BOARD OF EDUCATION OWEN DISTRICT,Write-In (Miscellaneous),,316
BUNCOMBE,10,BUNCOMBE COUNTY BOARD OF EDUCATION ROBERSON DISTRICT,Amy Churchill,,44668
BUNCOMBE,10,BUNCOMBE COUNTY BOARD OF EDUCATION ROBERSON DISTRICT,Laura Bowen,,32813
BUNCOMBE,10,BUNCOMBE COUNTY BOARD OF EDUCATION ROBERSON DISTRICT,Write-In (Miscellaneous),,530
BUNCOMBE,1,BUNCOMBE COUNTY REGISTER OF DEEDS,Drew Reisinger,DEM,73739
BUNCOMBE,1,BUNCOMBE COUNTY REGISTER OF DEEDS,Patricia (Pat) Cothran,REP,53636
BUNCOMBE,7,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Alan Ditmore,,28234
BUNCOMBE,7,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Jeff Foster,,67792
BUNCOMBE,7,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,1037
BUNCOMBE,16,WOODFIN GENERAL OBLIGATION PARKS AND RECREATION BONDS,No,,827
BUNCOMBE,16,WOODFIN GENERAL OBLIGATION PARKS AND RECREATION BONDS,Yes,,2070
BURKE,5,BURKE COUNTY  BOARD OF COMMISSIONERS,"David L. Rust, Jr.",DEM,12120
BURKE,5,BURKE COUNTY  BOARD OF COMMISSIONERS,Emily B. Church,DEM,15227
BURKE,5,BURKE COUNTY  BOARD OF COMMISSIONERS,Jeff Brittain,REP,22757
BURKE,5,BURKE COUNTY  BOARD OF COMMISSIONERS,Jeffrey V. Morse,DEM,11694
BURKE,5,BURKE COUNTY  BOARD OF COMMISSIONERS,Johnnie Carswell,REP,20315
BURKE,5,BURKE COUNTY  BOARD OF COMMISSIONERS,Scott Mulwee,REP,20774
BURKE,4,BURKE COUNTY REGISTER OF DEEDS,Laura Y. Anderson,DEM,15205
BURKE,4,BURKE COUNTY REGISTER OF DEEDS,Stephanie A. Norman,REP,22346
BURKE,3,BURKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Donald Chapman,,31776
BURKE,3,BURKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Michael Pardue (Write-In),,8
BURKE,3,BURKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Vince Roper (Write-In),,20
BURKE,3,BURKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Write-In (Miscellaneous),,344
BURKE,6,TOWN OF GLEN ALPINE ABC STORE ELECTION,Against,,332
BURKE,6,TOWN OF GLEN ALPINE ABC STORE ELECTION,For,,391
CABARRUS,3,CABARRUS COUNTY BOARD OF COMMISSIONERS,Elizabeth (Liz) Poole,REP,44655
CABARRUS,3,CABARRUS COUNTY BOARD OF COMMISSIONERS,Evelyn T. Miller,DEM,34433
CABARRUS,3,CABARRUS COUNTY BOARD OF COMMISSIONERS,Steve Morris,REP,53110
CABARRUS,1,CABARRUS COUNTY REGISTER OF DEEDS,Wayne Nixon,REP,68631
CABARRUS,2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,Andrea Palo (Write-In),,6
CABARRUS,2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,Anne Platts (Write-In),,19
CABARRUS,2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,Barry Shoemaker,,38352
CABARRUS,2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,Cynthia (Cindy) Fertenbaugh,,35867
CABARRUS,2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,David Harrison,,29996
